code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL007003,AL,108.88673179999999,PINUS HALEPENSIS,996.04,866,1111,low,12852.04,36.92854,-2.94301,NA,3,0,0,1,2,1,0,1,1,NA,0,0,NA,NA,0,0,1,2,2,2,2,2,2,2,2,1
AL008008,AL,115.5401489,PINUS PINASTER,1364.34,1205,1457,medium,13278.92,37.30137,-2.61022,NA,3,0,0,0,3,0,0,1,0,3,1,0,0,0,0,1,2,0,0,0,0,0,3,0,2,3
AL008009,AL,30.8736287,PINUS PINASTER,1487.83,1172,1628,medium,8641.47,37.29591,-2.64653,NA,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
AL008010,AL,134.38613270000002,PINUS PINASTER,1367.6,1117,1516,medium,9232.62,37.29535,-2.59952,NA,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1
AL008011,AL,79.13011879999999,PINUS PINASTER,1424.42,1237,1625,medium,5290.84,37.2878,-2.62024,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3
AL008012,AL,49.2905777,PINUS PINASTER,1399.95,1233,1544,medium,6538.5,37.28534,-2.62972,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AL008013,AL,100.4825689,PINUS NIGRA SSP SALZM.,1568.73,1379,1676,medium,7816.71,37.28517,-2.65557,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
AL008014,AL,113.8024764,PINUS NIGRA SSP SALZM.,1636.21,1448,1753,medium,6595.85,37.28165,-2.61738,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,3,3
AL008015,AL,158.7039272,PINUS NIGRA SSP SALZM.,1540.92,1368,1693,medium,8491.65,37.28086,-2.64562,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2
AL008016,AL,144.726232,PINUS NIGRA SSP SALZM.,1708.85,1595,1872,high,7268.41,37.27341,-2.65905,NA,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,0,1,2
